epoch,loss,lr,val_loss
0,0.2109823375940323,0.001,0.13658493757247925
1,0.020545529201626778,0.001,0.05072341114282608
2,0.006708291359245777,0.001,0.047491345554590225
3,0.004495664034038782,0.001,0.0454627200961113
4,0.003681449918076396,0.001,0.04535719007253647
5,0.0030808697920292616,0.001,0.044457562267780304
6,0.002638182369992137,0.001,0.0438353531062603
7,0.0034094606526196003,0.001,0.04112784191966057
8,0.0037621366791427135,0.001,0.037289127707481384
9,0.0032609764020889997,0.001,0.037706486880779266
10,0.002084313426166773,0.001,0.03370377793908119
11,0.0027133056428283453,0.001,0.03614328056573868
12,0.0029010509606450796,0.001,0.030424194410443306
13,0.003145411843433976,0.001,0.04014120250940323
14,0.0027104001492261887,0.001,0.0283645186573267
15,0.00215730769559741,0.001,0.013234584592282772
16,0.0029374577570706606,0.001,0.029833965003490448
17,0.002342832973226905,0.001,0.020298611372709274
18,0.002183333970606327,0.001,0.01928301900625229
19,0.0022125549148768187,0.001,0.014768094755709171
20,0.0026012819726020098,0.001,0.0010219556279480457
21,0.0025854050181806087,0.001,0.018234942108392715
22,0.0022630393505096436,0.001,0.0020890063606202602
23,0.002164839766919613,0.001,0.002562387380748987
24,0.002197227906435728,0.001,0.0008598114945925772
25,0.002347905421629548,0.001,0.015856247395277023
26,0.0023573627695441246,0.001,0.0006346235750243068
27,0.0019538667984306812,0.001,0.0015571827534586191
28,0.0021678037010133266,0.001,0.004071144387125969
29,0.001764162559993565,0.001,0.003984721377491951
30,0.0022460343316197395,0.001,0.00441227899864316
31,0.002458868082612753,0.001,0.0011342908255755901
32,0.0018638578476384282,0.000100000005,0.0004987862193956971
33,0.0015802937559783459,0.000100000005,0.000386893778340891
34,0.0012854805681854486,0.000100000005,0.00037641971721313894
35,0.001382162212394178,0.000100000005,0.0004010942648164928
36,0.0014439302030950785,0.000100000005,0.0003358014510013163
37,0.001278174459002912,0.000100000005,0.0005407438147813082
38,0.0018049373757094145,0.000100000005,0.0003353779611643404
39,0.0011783881345763803,1.0000001e-05,0.00037757630343548954
40,0.0014490513131022453,1.0000001e-05,0.0003708201111294329
41,0.0011531311320140958,1.0000001e-05,0.0003721187822520733
42,0.0014047595905140042,1.0000001e-05,0.0003772019990719855
43,0.001754756085574627,1.0000001e-05,0.0003943278279621154
44,0.0010277379769831896,1.0000001e-06,0.00039185487548820674
45,0.001288904226385057,1.0000001e-06,0.00038693746319040656
46,0.0012538617011159658,1.0000001e-06,0.0003811031929217279
47,0.0014635153347626328,1.0000001e-06,0.00037375776446424425
48,0.0014004750410094857,1.0000001e-06,0.00037552809226326644
